id,timestamp,name,gesture,palmPX,palmPY,palmPZ,f0PosX,f0PosY,f0PosZ,f1PosX,f1PosY,f1PosZ,f2PosX,f2PosY,f2PosZ,f3PosX,f3PosY,f3PosZ,f4PosX,f4PosY,f4PosZ,Df0palm,Df1palm,Df2palm,Df3palm,Df4palm,Df0f1,Df0f2,Df0f3,Df0f4,Df1f0,Df1f2,Df1f3,Df1f4,Df2f0,Df2f1,Df2f3,Df2f4,Df3f0,Df3f1,Df3f2,Df3f4,Df4f0,Df4f1,Df4f2,Df4f3,handDirX,handDirY,handDirZ,f0DirX,f0DirY,f0DirZ,f1DirX,f1DirY,f1DirZ,f2DirX,f2DirY,f2DirZ,f3DirX,f3DirY,f3DirZ,f4DirX,f4DirY,f4DirZ,f0Ext,f1Ext,f2Ext,f3Ext,f4Ext,Confidence
1,1449083561433,Andressa2,Open,2.032862,191.5264,72.85816,-61.27924,199.8261,67.88774,-16.68874,214.0166,-5.799775,1.864992,207.7887,-14.02118,27.97899,199.4751,-3.503915,52.24704,181.2373,22.43317,64.0650591028901,83.9255587062112,88.3885151077287,81.0405316481081,71.9036557391641,87.2968949308791,103.73644370861,114.307054771388,123.706513480137,87.2968949308791,21.2290864297812,47.0330179444977,81.3889158172836,103.73644370861,21.2290864297812,29.3552176632547,67.6200277155208,114.307054771388,47.0330179444977,29.3552176632547,39.9294540182896,123.706513480137,81.3889158172836,67.6200277155208,39.9294540182896,-0.05282414,-0.1381138,-0.9890039,-0.7080529,0.08245656,-0.7010669,0.0021309768,0.2170272,-0.9761509,0.009535646,0.2062712,-0.9784453,0.1586404,0.2200693,-0.9624941,0.4432023,0.1267034,-0.8874178,1.0,1.0,1.0,1.0,1.0,1.0
2,1449083571332,Andressa2,0,22.80282,237.6415,58.38295,-25.10771,241.3444,46.14914,-19.2998,247.4718,49.87461,-17.99524,235.6682,47.74069,-10.91452,224.3525,43.50925,3.087302,223.5566,17.38677,49.5881493538902,44.0648815377074,42.2102099099707,39.1757715433851,47.621407635304,9.23252707178252,9.24122576983933,22.297361762697,44.0311932293796,9.23252707178252,12.0659137678558,25.4039263772504,46.1375944285457,9.24122576983933,12.0659137678558,14.0034701392387,38.892521569978,22.297361762697,25.4039263772504,14.0034701392387,29.6502951436995,44.0311932293796,46.1375944285457,38.892521569978,29.6502951436995,0.1666157,0.548226,-0.8195434,-0.252828,-0.1474922,-0.9561757,-0.2979927,-0.6538691,0.6954233,-0.3027259,-0.5903135,0.7482231,-0.4204434,-0.4166718,0.8059388,-0.947731,-0.1138058,0.2980037,0.0,0.0,0.0,0.0,0.0,0.5269186
3,1449083575082,Andressa2,1,16.73897,205.7208,77.56324,22.21198,256.7461,47.47739,-20.78972,226.7353,86.58977,-21.39774,219.9998,93.9592,-18.0643,207.218,99.05042,-13.23115,192.3297,97.78243,60.1540129713124,44.3564273399951,44.4189321426433,41.4596722326401,39.1106176776242,66.1536824356704,74.4720276212596,83.050760749896,90.1902210020145,66.1536824356704,10.154732999254,23.5665727885516,37.3872749869821,74.4720276212596,10.154732999254,14.2979079978364,29.4405255061848,83.050760749896,23.5665727885516,14.2979079978364,15.9008514365237,90.1902210020145,37.3872749869821,29.4405255061848,15.9008514365237,-0.4517804,-0.2727746,-0.8337668,-0.1563596,0.2592837,-0.9515537,0.2303036,0.138422878,0.9491983,0.2338899,0.3359889,0.8939331,0.1649159,0.4789882,0.8427702,0.08632301,0.5845676,0.7669952,1.0,0.0,0.0,0.0,0.0,0.4343403
4,1449083578699,Andressa2,2,12.87105,208.6383,81.81969,34.32515,248.7549,35.36405,-50.93665,244.6575,61.023,-6.885605,239.9234,104.599,-7.003079,227.8068,111.415,-7.563303,214.0661,110.5734,65.0225225501838,76.1739901222485,43.4638963536211,40.5023116689406,35.7038462877593,89.1408000808986,81.0578488876198,89.0617510622234,92.8169019115001,89.1408000808986,62.1507025391019,68.9540604137425,72.6170981173121,81.0578488876198,62.1507025391019,13.924052418476,26.5541625169096,89.0617510622234,68.9540604137425,13.924052418476,13.7872466472638,92.8169019115001,72.6170981173121,26.5541625169096,13.7872466472638,-0.7747766,-0.2072506,-0.5964599,-0.2963958,0.1348165,-0.945237,-0.8689035,0.4538298,0.1972124,0.6459825,0.3117977,0.6965564,0.6370797,0.4551072,0.6212832,0.6531366,0.6702639,0.3512552,1.0,1.0,0.0,0.0,0.0,0.5804012
5,1449083590132,Andressa2,3,30.57695,200.334,67.33416,14.8029,230.481,87.59334,7.679593,253.3917,6.845934,-3.417736,245.9804,0.3347157,-22.30896,231.2167,17.8206,-2.666835,229.2103,88.03423,39.6023555511271,83.6561555944131,87.9111878862109,78.7548025417927,48.6599970193583,84.2382911274532,90.4805353723474,79.0340859874385,17.5219776881911,84.2382911274532,14.8494606811655,38.8783562281898,85.3437308719936,90.4805353723474,14.8494606811655,29.6757973957312,89.2932613084864,79.0340859874385,38.8783562281898,29.6757973957312,72.9385912943982,17.5219776881911,85.3437308719936,89.2932613084864,72.9385912943982,-0.5471373,0.3984677,-0.7360885,-0.9607433,0.2630754,0.08785441,-0.5041324,0.6365686,-0.5835056,-0.3789868,0.6161644,-0.6903834,-0.5042888,0.6127505,-0.6084603,0.2969031,0.7469032,0.5948283,0.0,1.0,1.0,1.0,0.0,0.9521007
6,1449083597082,Andressa2,4,23.97909,189.7664,79.28183,33.88712,225.7269,90.27308,27.47796,226.8605,3.365985,3.517165,222.3699,-0.2420685,-16.76521,216.468,15.40436,-35.96873,209.3832,48.57113,38.8878366759799,84.56669616026,88.3504131369699,80.3330964848193,70.1549130813735,87.1506199309431,95.533336966094,90.8666654875721,82.9825571171096,87.1506199309431,24.6436057579425,47.01590855143,79.8409410216188,95.533336966094,24.6436057579425,26.2888550233667,64.1140982565638,90.8666654875721,47.01590855143,26.2888550233667,38.9744777308048,82.9825571171096,79.8409410216188,64.1140982565638,38.9744777308048,-0.2506399,0.6361457,-0.7297231,-0.4319024,0.8922988,-0.131069,-0.141278,0.5577533,-0.8178879,-0.2121278,0.3911453,-0.8955408,-0.311139,0.3136425,-0.8971179,-0.5713132,0.2365679,-0.7858942,0.0,1.0,1.0,1.0,1.0,0.97733
7,1449083610265,Andressa2,5,56.02923,236.0761,71.09998,15.54308,252.4571,49.96538,40.27456,276.3876,23.63103,44.48611,267.0764,15.7018,30.4454,235.8593,16.87823,44.02278,221.4967,22.79475,48.5466074514965,64.2683117243767,64.5393531702441,59.9726916715143,51.8831251621242,43.3455365613052,47.1845142859311,39.9148385849336,50.0912823634883,43.3455365613052,12.9912350589567,42.2696129459933,55.0554688116283,47.1845142859311,12.9912350589567,34.2577912889383,46.1446557043098,39.9148385849336,42.2696129459933,34.2577912889383,20.6371266469328,50.0912823634883,55.0554688116283,46.1446557043098,20.6371266469328,0.3545532,0.5380159,-0.7643863,-0.04813584,0.11678519,-0.9905334,-0.8545468,-0.3783515,-0.3554555,-0.9286616,-0.2560533,-0.2681293,-0.9596816,-0.1771358,-0.2180006,-0.9789509,0.009245912,-0.2034906,0.0,0.0,0.0,0.0,0.0,0.4760529
8,1449083618798,Andressa2,6,69.82593,209.7089,68.76499,42.2502,239.0947,32.75303,42.4368,234.4837,36.78829,39.31886,226.1564,32.67736,41.06773,211.4548,34.15974,50.70072,198.0337,34.76476,54.0511490849483,48.8528109684628,50.0359587889626,45.0299919920168,40.7203815188942,6.20840512455203,13.2746740347918,27.7031788660985,41.9714030302061,6.20840512455203,9.7966579272429,23.2195087355501,37.430373643405,13.2746740347918,9.7966579272429,14.8804164237811,30.410780801389,27.7031788660985,23.2195087355501,14.8804164237811,16.5318382106767,41.9714030302061,37.430373643405,30.410780801389,16.5318382106767,0.7662774,0.3311675,-0.5505533,0.2326732,0.4892315,-0.8404511,-0.9204813,-0.3824536,0.07969791,-0.9726505,-0.1830389,0.1429119,-0.979111,-0.01220475,0.2028152,-0.9787594,0.1068086,0.1749801,1.0,0.0,0.0,0.0,0.0,0.5455111
9,1449083626865,Andressa2,7,33.51034,221.2022,32.97527,-13.92777,247.2717,27.5039,-21.72417,245.5876,13.62485,-5.924641,227.2061,35.4543,-2.489987,214.3463,35.84912,3.494822,201.1705,29.17962,54.4070652227637,63.4032243650558,39.9667017104652,36.7598909201239,36.2851298194189,16.0160972859602,23.0209880135237,35.8417804292159,49.3126626483217,16.0160972859602,32.6196611612517,42.8941629862223,53.3932486640241,23.0209880135237,32.6196611612517,13.3170358086851,28.3899896096746,35.8417804292159,42.8941629862223,13.3170358086851,15.9345052965987,49.3126626483217,53.3932486640241,28.3899896096746,15.9345052965987,0.08984717,0.254385,-0.9629182,-0.529833,0.05243429,-0.8462593,-0.9975638,-0.06958382,-0.003247681,-0.1401452,-0.2722394,0.9519566,-0.1596891,-0.06718176,0.9848763,-0.2177257,-0.011808077,0.9759358,0.0,0.0,0.0,0.0,0.0,0.2652458
10,1449083655749,Andressa2,8,50.71705,257.0767,49.51016,48.30398,241.0024,15.49642,32.11378,231.336,18.47007,40.71889,225.7443,19.93498,53.92862,224.8265,26.03958,66.56675,232.0317,27.57662,37.7177513537243,44.4468819598183,44.2640030338508,40.0376210535189,36.8882630008213,19.101453171055,17.6160002024597,20.1170919380183,23.6769715145924,19.101453171055,10.3727547132304,24.0095259309709,35.6734035461591,17.6160002024597,10.3727547132304,14.5944091450113,27.7033878551431,20.1170919380183,24.0095259309709,14.5944091450113,14.6430145040316,23.6769715145924,35.6734035461591,27.7033878551431,14.6430145040316,0.0680783,0.7392412,-0.6694622,0.5840448,0.1597137,-0.7958187,0.07947927,-0.8806115,0.4662386,-0.09151507,-0.8692182,0.4852468,-0.2450891,-0.8380486,0.4869017,-0.473682,-0.7860029,0.396072,0.0,0.0,0.0,0.0,0.0,0.4754539
